Indicators,Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Exports,Singapore,5510346,5762612,5479849,4903663,4501930,4451167,5194244,4891117,4583187,4074187,3557013,3234723,3005194,3230581,2962030,2318529,1663226,1268760,886377,698422,579188,576104,450223,394394,
Imports,Singapore,3881973,3161807,3523782,3372777,3424962,2601425,2758076,3082873,3006452,2853078,2813992,2472875,1780393,2017126,1752368,1767262,1651460,1399447,1048485,704656,514252,505963,406110,423540,
fdi,Singapore,1033164,768098,759064,521021,476318,604668,690407,582668,722872,630508,609681,542820,360484,443529,318457,226046,220432,200814,205840,233720,214355,217220,264249,340397,260641
electricity,Singapore,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ageing,Singapore,35.35300187,33.87959138,32.28075139,30.66824927,29.3142575,28.21884047,27.60940339,27.60659538,27.75280822,27.66110783,27.34356729,27.31118916,28.12065231,29.39329697,30.55312531,31.48160097,32.32744207,33.26689175,34.00923742,34.2703432,34.09650576,34.04788719,34.67151323,35.49696951,35.9824815
publicdebt,Singapore,,153.4112539,128.3092592,110.7300709,109.3517265,109.1358254,103.3208398,99.60979867,99.44648886,107.8280936,104.7851838,101.4497824,106.3724683,96.40996475,77.2760743,82.83748054,94.96669378,101.779019,108.5899838,106.3325409,93.93631251,83.84229173,87.86037846,82.59911664,71.36072927
business,Singapore,,,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.9,0.8,0.8,0.9,1,1,,,,,,
gdp,Singapore,72794.00302,60729.45035,65831.18943,66859.33834,61150.7272,56860.41324,55646.61875,57562.53079,56967.42579,55546.48854,53890.42873,47236.96023,38927.20688,40007.46926,39432.93835,33769.15416,29961.26328,27608.53737,23730.15245,22159.68886,21700.02005,23852.32703,21796.08444,21829.29987,26375.97195
GNI per capita growth (annual %),Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
savings,Singapore,44.23622021,40.18784295,39.90292465,41.88104162,45.48999595,44.7097422,44.0462477,47.29496845,45.51569711,47.25306118,48.8091746,50.59159439,43.86312579,44.35841654,49.97092182,48.16854371,43.62663976,40.61436754,39.39878392,38.42801044,40.0817899,46.37484994,48.91223403,51.34961006,52.3004879
internet,Singapore,,92.00434653,88.94925269,88.16563603,84.45226789,84.45226789,83.2,82.1,80.90205685,72,71,71,69,69,69.9,59,61,62,53.83794329,47,41.67042518,36,24.15543693,19.59076716,13.47162042
inflation,Singapore,2.30485959,-0.181916667,0.565260569,0.438620118,0.57626031,-0.53226874,-0.522618167,1.02514803,2.358604154,4.575602704,5.247793398,2.823661349,0.596720257,6.627781774,2.104880036,0.962901778,0.425106277,1.662727199,0.5079053,-0.391676867,0.997197956,1.361623924,0.016709834,-0.267502293,2.003586185
immigration,Singapore,,,,,,,45.39179191,,,,,42.62277265,,,,,38.05098886,,,,,34.49790375,,,
gender,Singapore,64.16500092,62.44400024,62.41400146,61.58399963,61.70800018,62.28499985,62.27500153,60.95500183,59.72600174,59.45999908,58.6780014,57.89400101,57.05699921,56.18799973,55.34000015,54.52600098,53.73099899,52.97600174,52.48400116,51.72700119,52.68299866,52.2820015,51.79999924,50.93600082,51
education,Singapore,86.23999786,,,,,,,88.90000153,,,,88.65000153,87.94999695,,,,,,,,,,,,
interest,Singapore,5.25,5.25,5.25,5.33,5.28,5.35,5.35,5.35,5.38,5.38,5.38,5.38,5.38,5.38,5.33,5.3125,5.3,5.3,5.306666667,5.345833333,5.648333333,5.833333333,5.8,7.441666667,6.3225
literacy,Singapore,,97.1318512,97.47958374,97.34485626,97.2022171,97.04956055,96.82549286,96.71669006,96.54801941,96.36978912,96.18604279,95.85733032,,,,,,,,,,92.54940033,,,
militaryexp,Singapore,2.978231311,2.942884729,2.795513781,2.835500815,2.9841821,3.099315294,3.046712659,3.047860385,3.038491149,3.10816619,3.193874569,3.38139844,3.882423347,3.850026794,3.602552791,3.94502523,4.288125843,4.416805051,4.869647648,4.924986287,4.826249999,4.518886294,5.207353988,5.211052961,4.450036477
oil,Singapore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slums,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Singapore,1.170293524,8.474030526,5.629444451,1.761401616,2.410583719,4.885731655,2.210150171,5.632323555,5.836216953,4.860577563,4.160490844,4.225382135,2.356467094,6.856278723,-0.55404274,3.405513092,3.336078554,1.289416952,7.235892783,6.299247905,7.600674107,1.896581804,9.725802426,8.888631675,5.181291176
ruralpop,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
servicesector,Singapore,69.44880106,71.66443327,70.79420382,69.35537825,70.34711026,70.66365925,69.95093331,70.34532579,70.76230616,69.20862705,69.02312363,67.84351708,68.00606952,68.34796176,66.0401485,64.87685405,64.07318438,63.07257513,64.34872521,63.97695568,63.59363423,60.66451974,63.06928087,62.72226013,62.62999077
"Share of tariff lines with international peaks, all products (%)",Singapore,,0.0996771,0.0980479,0.0732805,0.0740438,0.0863695,0.0839399,0.0965544,0.0965544,0.0844143,0.1363462,0.0905257,0.0795977,0.0877578,0.0685612,0.101719,0.0953885,0,0.2227955,0.277815,0.1888672,0.1546103,0.1413971,0.1393592,0.1379926
"Share of tariff lines with specific rates, all products (%)",Singapore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3693332
"Tariff rate, applied, simple mean, all products (%)",Singapore,,0.17,1.2,0.58,0.19,0.21,0.2,0.2,0.21,0.21,0.28,0.17,0.14,0.15,0.04,0.05,0.05,0,0.05,0.06,0.05,0.07,0.07,0.07,0.07
"Tariff rate, applied, simple mean, primary products (%)",Singapore,,1.02,7.54,3.57,1.15,1.25,1.25,1.28,1.3,1.31,1.8,1.11,0.91,1.04,0.24,0.37,0.35,0,0.31,0.39,0.34,0.49,0.47,0.5,0.52
Tariffs,Singapore,,0.05,0.39,0.24,0.07,0.07,0.07,0.07,0.07,0.06,0.16,0.05,0.06,0.05,0.01,0.01,0.03,0,0.02,0.04,0.04,0.04,0.05,0.05,0.05
"Tariff rate, applied, weighted mean, primary products (%)",Singapore,,0.4,2.51,0.84,0.26,0.28,0.26,0.19,0.19,0.15,0.42,0.15,0.18,0.14,0.03,0.06,0.12,0,0.1,0.21,0.21,0.22,0.31,0.31,0.29
"Tariff rate, most favored nation, simple mean, all products (%)",Singapore,,0.08,0.59,0.28,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.02,0.02,0.02,0,0.02,0.02,0.02,0.03,0.03,0.03,0.03
"Tariff rate, most favored nation, weighted mean, all products (%)",Singapore,,0.16,1.44,0.68,0.21,0.24,0.28,0.24,0.25,0.18,0.16,0.14,0.18,0.15,0.03,0.03,0.03,0,0.04,0.04,0.04,0.04,0.05,0.05,0.05
unemployment,Singapore,3.539999962,4.099999905,3.099999905,,4.199999809,4.079999924,3.789999962,3.74000001,3.859999895,3.720000029,3.890000105,4.119999886,5.860000134,3.960000038,3.900000095,4.480000019,5.590000153,5.840000153,5.929999828,5.650000095,3.75999999,3.700000048,4.849999905,3.410000086,2.5
Exports,Sierra Leone,48920,37137,31354,25302,24243,24220,27656,16305,15257,24919,22483,9835,5466,7877,5847,3898,3076,2826,1661,1441,1199,866,435,441,
Imports,Sierra Leone,38924,15849,19389,17714,33802,23956,16482,167870,145266,50298,2799,1077,1054,532,571,98,136,160,0,16,0,1,,,
fdi,Sierra Leone,,,,,,,,2,2,,44,45,6,15,,,147,82,2,57,50,142,105,215,112
electricity,Sierra Leone,,26.20088577,22.70000076,26.10000038,23.39999962,20.29999924,19.53453636,18.66603088,13.5,16.976511,14.19999981,11.46217346,14.57992744,12.10000038,13.04996777,12.29718781,11.3324852,16.79999924,10.05562305,9.305814743,8.55077076,7.788142681,,,
ageing,Sierra Leone,74.00443244,75.23055756,76.41915567,77.65671017,78.99392626,80.36087033,81.70545613,83.00946252,84.20601764,85.18508314,85.99820538,86.72277025,87.36039652,87.9321676,88.43589151,88.85718753,89.20801971,89.51401937,89.72216973,89.81985974,89.85245586,89.84851271,89.68555181,89.45343017,89.31859079
publicdebt,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,
business,Sierra Leone,,,7.6,8.4,10.3,8.6,44.2,37.9,44.1,80.4,93.3,110.7,118.8,145.8,1180.7,1314.6,983.4,1491.6,1540.2,,,,,,
gdp,Sierra Leone,480.0392113,493.4787775,506.6068944,519.6500156,484.4464498,490.3705888,576.7402317,702.3353794,706.452664,560.0373997,445.0053621,400.5200022,392.0066748,411.3472818,363.4345232,324.472553,290.409532,261.7839335,258.9860134,243.8352074,224.5102243,138.7139416,149.5783419,151.0965629,193.0108126
GNI per capita growth (annual %),Sierra Leone,2.504445065,-4.969727347,9.949746324,-4.337663469,11.14330801,-6.439264867,-21.95081998,0.44873091,13.30480824,17.56035625,0.882389181,-4.687848064,1.400783079,5.536520716,13.03111247,2.283391096,1.646622863,2.783915565,5.477003712,19.65314955,,,,,
savings,Sierra Leone,,0.317208289,-2.434360546,-9.206512961,-1.337497692,-13.48086111,-1.465528905,15.1225696,-12.88073351,9.4424627,0.952351345,21.4553945,7.8221707,10.60020657,11.51028087,5.508843954,6.956541836,4.881672747,3.786295945,2.469269509,-0.504045081,-9.492194195,0.722275384,2.4952725,-3.384961938
internet,Sierra Leone,,18,16.8,15.8,13.23693043,11.77318438,6.344421603,6.057298984,4,2.5,0.9,0.58,0.26,0.25,0.239834699,0.227669467,0.21539161,0.203007681,0.190173282,0.176198957,0.160264445,0.118254246,0.048490656,0.014805065,0.004987835
inflation,Sierra Leone,11.87395888,13.44687111,14.80499909,16.02954477,18.2215094,10.88606094,6.689435625,4.639311714,5.52412878,6.587762394,6.79138292,7.185662757,7.469018985,8.211124323,11.64997445,,,,,,,,,,
immigration,Sierra Leone,,,,,,,1.413457295,,,,,1.687216992,,,,,2.950246595,,,,,2.419306579,,,
gender,Sierra Leone,50.9280014,51.02899933,51.51900101,51.39599991,52.62799835,53.85699844,55.08100128,56.29999924,57.29700089,58.28900146,59.27299881,60.25,61.21900177,62.17900085,63.13000107,64.06999969,65,65.91799927,64.66500092,64.63999939,64.6230011,64.6210022,64.62400055,64.59500122,64.55999756
education,Sierra Leone,,,,73.47000122,,,,69.98000336,,,,,,,,,,,77.08999634,,,,,,
interest,Sierra Leone,18.85916667,17.93833333,17.96666667,15.96166667,15.65833333,16.21666667,18.73,19.41166667,20.56,21,21,21.25,22.16666667,24.5,25,24,24.58333333,22.08333333,20,22.16666667,24.265,26.25,26.83333333,23.83333333,23.8675
literacy,Sierra Leone,47.70000076,,,43.20632935,,,,,32.42617035,,,,,,,,,34.82678986,,,,,,,
militaryexp,Sierra Leone,0.609065851,0.546605435,0.672477268,0.751992569,1.093816897,1.116382358,0.923453252,0.973262106,0.643965907,0.782800531,0.865813494,0.972150455,1.076033226,0.943706279,1.346993361,1.486395848,1.426813932,1.584946609,2.053952988,2.164617616,2.742527343,2.512155618,1.740340045,1.024702229,0.764916648
oil,Sierra Leone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slums,Sierra Leone,,50.64661,,53.38422,,56.12183,,58.85944,,61.59705,,64.33467,,67.07228,,69.80989,,72.5475,,73.9,,73.9,,,
Real interest rate (%),Sierra Leone,11.40452855,6.331714606,9.530344854,1.70114041,1.416129323,14.18909936,-0.113375367,17.30335875,12.75176766,7.996104757,3.089112659,3.475834493,13.34632548,13.18828599,17.04521826,10.39007185,6.819322267,8.214689841,6.060030948,27.14597855,-28.51641338,22.23915831,8.225246384,0.047030663,21.13852795
ruralpop,Sierra Leone,56.628,57.077,57.516,57.945,58.364,58.772,59.171,59.568,59.964,60.358,60.752,61.144,61.534,61.923,62.311,62.697,63.081,63.404,63.648,63.891,64.133,64.374,64.616,64.856,65.095
servicesector,Sierra Leone,32.32502466,30.98335844,32.80393491,32.34662359,31.99638717,33.28609364,33.87134028,29.826838,28.47954765,32.55502258,35.2535714,35.26109302,34.59808748,35.09654627,34.72307214,35.58215114,36.23473511,35.99161426,38.78148456,40.1771311,41.46240391,12.49022786,12.43524903,12.96228481,13.37333386
"Share of tariff lines with international peaks, all products (%)",Sierra Leone,,47.53927,,,,,,,,49.87031,49.81739,49.71299,,,,54.83519,,55.16647,,,,,,,
"Share of tariff lines with specific rates, all products (%)",Sierra Leone,,0,,,,,,,,0.4232082,0.38076,0.2917098,,,,0,,0,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",Sierra Leone,,13.63,,,,,,,,12.88,12.91,12.87,,,,14.62,,14.93,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",Sierra Leone,,19.42,,,,,,,,16.24,16.48,16.54,,,,19.19,,18.41,,,,,,,
Tariffs,Sierra Leone,,14.05,,,,,,,,10.31,9.81,10.26,,,,14.33,,15.32,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",Sierra Leone,,17.46,,,,,,,,12.59,12.15,12.85,,,,18.05,,18.88,,,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",Sierra Leone,,12.17,,,,,,,,11.87,11.87,11.87,,,,13.36,,13.67,,,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Sierra Leone,,14.24,,,,,,,,10.41,9.91,10.31,,,,14.33,,15.32,,,,,,,
unemployment,Sierra Leone,,,,3.190000057,,,,4.679999828,,,,,,,,,,3.420000076,3.880000114,,,,,,
Exports,Seychelles,6865,5767,6565,6133,4882,5573,5763,4558,3867,3317,3501,1486,1524,1413,742,530,340,178,179,146,112,157,201,132,
Imports,Seychelles,1,4,7,3,147,8,10,20,40,26,32,1,3,368,446,60,1,3,3,1,5,15,,,
fdi,Seychelles,16868,26323,19271,22547,20409,24593,22600,35904,34812,36507,43333,22837,11790,4226,1594,1573,440,654,246,597,300,,29,,170
electricity,Seychelles,,100,100,100,100,100,100,100,98,98.39136505,98.14796448,97,96.82926178,96.50952148,96.19971466,99,95.59909058,95.30290985,95.00619507,96.09999847,94.40176392,94.08934021,93.66580963,93.29929352,92
ageing,Seychelles,45.02074689,44.66875303,44.3494847,44.04251518,43.74653168,43.43696028,43.22136539,43.16450936,43.18985004,43.27459761,43.68981497,44.48343017,45.33679619,46.13471363,46.83139936,47.66975039,48.59756098,49.55482619,50.68625309,51.72707503,52.74156838,53.7930773,54.92659242,56.08124159,57.87560747
publicdebt,Seychelles,,,,,,,61.61793584,66.62459326,51.55062982,78.14180567,78.84131555,75.35341586,100.4455703,176.9243381,,,,,,,,,,,
business,Seychelles,,,12.5,13.4,13.2,13.4,14.2,15.2,16,13.8,15.4,16.8,19.2,26.8,29.7,32.2,31.7,,,,,,,,
gdp,Seychelles,14653.30939,12808.98747,17253.50566,16910.68818,16416.77619,15740.13032,15157.53029,15188.22876,14764.93927,11998.4472,12189.09516,10804.68447,9706.95606,11122.86207,12154.82994,12014.39987,11092.51074,10176.65871,8524.961236,8331.261997,7663.13708,7578.851053,7747.612159,7715.918147,7280.989621
GNI per capita growth (annual %),Seychelles,6.682126564,-7.610760909,3.378115494,3.670933564,3.333308118,2.62505235,2.818392594,1.896183005,3.431761567,1.473638145,9.092958128,3.869093038,0.294954815,-5.546697259,1.376070867,,,,-1.22777137,-9.278647977,0.022606706,-0.059105951,-0.548481066,4.608172939,11.76848189
savings,Seychelles,6.986441468,5.727866564,8.609388473,8.418059087,10.01180193,8.538707935,12.04591741,6.603082199,22.49693573,11.34979642,13.09632825,17.3376497,12.50326463,7.445991805,18.19542843,22.60138074,,,17.77553867,18.6059862,17.95654925,18.4704876,23.22192049,16.9482109,20.16485269
internet,Seychelles,,79,75,70.1,58.76981124,56.51470815,54.25961786,51.25470199,50.4,47.076,43.16400446,41,,40.44,38.38,34.95197117,25.41326815,24.27213922,14.59250432,14.30417083,11.01510293,7.395629183,6.229054803,2.526177514,1.28295593
inflation,Seychelles,,8.276858114,2.074764365,3.702918391,2.856795756,-1.015481917,4.041944107,1.385834546,4.338938483,7.110370623,2.559267722,-2.404638751,31.75444077,36.96475829,5.320600273,-0.353465499,0.907187718,3.857303914,3.302553864,0.175,5.969622042,6.268768769,6.347305389,2.57985258,0.618046972
immigration,Seychelles,,,,,,,13.25890682,,,,,12.26888409,,,,,10.13780748,,,,,8.10064815,,,
gender,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,
education,Seychelles,,84.25,84.86000061,86.65000153,87.33000183,87.69999695,88.69000244,88.11000061,,,,,,,,,,,,,,,,,
interest,Seychelles,9.157182235,11.60739728,12.60439604,12.30881156,12.24125228,12.35756382,12.3582003,11.64816842,12.28683447,12.19118576,11.18993449,12.70264981,15.34725161,11.80777072,10.8936722,10.04996667,9.769033333,9.99165,10.615875,10.58753333,10.62534167,10.737,11.1707025,14.30255833,14.88083333
literacy,Seychelles,,96.19999695,,95.8677063,,,,,,,,93.95423126,,,,,,,,91.8364563,,,,,
militaryexp,Seychelles,1.468605841,1.584680407,1.335361292,1.380046268,1.484521213,1.535705992,1.314079694,2.301511211,1.036558933,0.936679585,0.855504063,0.737915363,1.020878336,1.150193197,1.468283589,1.413430023,1.602352351,1.897640227,1.734316375,1.677375471,1.778265522,1.679332821,1.782925442,1.732915588,2.024810037
oil,Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slums,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Seychelles,6.294051716,9.603464711,11.800268,9.338262486,8.42555808,12.43221681,11.35754035,5.641708396,7.930086535,3.251095894,6.405684214,17.65931102,-9.527437058,-17.15802967,-0.810525807,8.485235216,9.267882202,-11.77667837,4.406968121,6.731160095,4.209418731,6.494547732,8.930405412,9.521030634,13.64915405
ruralpop,Seychelles,42.028,42.454,42.881,43.309,43.739,44.169,44.6,45.031,45.463,45.88,46.28,46.664,47.031,47.381,47.715,48.031,48.33,48.612,48.877,49.124,49.354,49.567,49.762,49.939,50.099
servicesector,Seychelles,67.19351764,69.31277243,73.18539114,66.36641728,66.37895678,67.16118649,66.84046254,66.0108947,69.72957926,67.5393669,63.89121552,68.48615122,70.33744906,67.61590357,67.95301761,65.89414974,63.21300452,62.48733498,46.43940125,48.88394726,51.68502565,50.49770586,60.1958958,60.6409896,60.78951088
"Share of tariff lines with international peaks, all products (%)",Seychelles,,6.292167,5.901029,4.871988,11.61182,13.04438,12.16881,,,,,,,,13.99765,13.20443,15.87308,,,,61.8987,58.34932,,,
"Share of tariff lines with specific rates, all products (%)",Seychelles,,0.0213053,0.3031677,0.3564257,0.3413205,0.3410296,0.7668306,,,,,,,,0.7801001,0.573764,0.5803964,,,,0.293385,1.027037,,,
"Tariff rate, applied, simple mean, all products (%)",Seychelles,,1.79,8.91,2.27,2.74,2.85,2.39,,,,,,,,9.75,9.06,12.15,,,,27.69,27.22,,,
"Tariff rate, applied, simple mean, primary products (%)",Seychelles,,6.11,43.88,9.04,6.06,6.11,5.59,,,,,,,,31.08,27.73,30.17,,,,41.21,46.08,,,
Tariffs,Seychelles,,1.47,20.28,2.09,3.7,4.32,2.82,,,,,,,,30.07,32.58,32.6,,,,32.53,26.92,,,
"Tariff rate, applied, weighted mean, primary products (%)",Seychelles,,5.38,83.43,5.17,11.28,11.29,5.35,,,,,,,,53.45,52.61,54.83,,,,68.67,33.76,,,
"Tariff rate, most favored nation, simple mean, all products (%)",Seychelles,,2.37,4.83,2.99,2.69,2.76,2.76,,,,,,,,8.75,8.55,12.25,,,,28.31,28.49,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Seychelles,,3.88,22.68,6.59,5.33,5.94,4.65,,,,,,,,30.07,32.58,32.6,,,,32.53,26.92,,,
unemployment,Seychelles,,4.309999943,2.970000029,3.529999971,3.710000038,3.960000038,4.150000095,3.839999914,,,4.110000134,,,,,,5.5,,,9.81000042,,,,,
Exports,Serbia,224216,162434,103297,72830,54564,43224,41510,42456,43191,41288,39635,34502,30835,49252,35441,,,,,,,,,,
Imports,Serbia,98353,49818,36061,22387,21159,16270,13374,11274,18013,10135,7789,5512,2923,1228,1312,,,,,,,,,,
electricity,Serbia,,100,99.80000305,100,100,100,99.90000153,99.66079712,99.91999817,100,100,99.71839905,100,100,100,100,99.6907196,100,100,100,100,100,100,100,100
ageing,Serbia,53.81945374,53.54922867,52.9164664,52.24562495,51.67391242,51.19571565,50.54988587,49.46915493,48.31658419,47.56340557,47.27004486,47.15211786,47.13063579,47.14628902,47.12757976,47.07259502,46.99522631,46.8038525,46.48916898,46.11477867,45.63935929,45.21340423,45.01469206,44.89293587,44.61996362
publicdebt,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,
business,Serbia,,,2.3,2.2,2.3,6.5,6.6,6.8,7.2,7.7,7.8,7.9,7.1,7.6,8.9,10.2,12,15,15.9,,,,,,
gdp,Serbia,9230.178316,7733.802869,7417.203649,7252.401858,6292.543629,5765.200762,5588.980728,6600.056809,6755.073675,6015.945228,6809.159804,5735.422857,6169.114195,7101.040141,5848.476405,4382.617279,3720.479155,3502.802924,3005.426352,2283.846685,1727.281196,914.7857199,2571.30404,2571.17271,3380.041416
GNI per capita growth (annual %),Serbia,7.608735239,2.221839419,4.519695138,6.60919047,1.606726876,2.922994699,1.450845847,-1.050901256,2.673780947,0.425024558,1.030255181,0.514942185,-1.038691335,6.520329812,6.586900635,4.733646505,4.350410341,9.056602297,4.40194971,6.016215966,7.113159898,6.385503487,-9.077196036,3.680316874,
savings,Serbia,21.22672149,20.59963337,18.28236554,18.68072369,15.53620137,16.33080538,16.31995795,13.10610662,13.92386218,10.92156742,10.3225832,13.87787498,14.73583512,9.003110651,10.01691128,,,,,,,,,,
internet,Serbia,81.16588116,78.36804077,77.41677362,73.36070915,70.33083553,67.05684137,65.3170254,62.07508046,53.45036418,48.1,42.2,40.9,38.1,35.6,33.15,27.2,26.3,23.5,,,,,,,
inflation,Serbia,4.085102853,1.575532901,1.849229845,1.959840763,3.131062486,1.122313974,1.39235822,2.082447939,7.694263629,7.330385896,11.13739763,6.142553602,8.116950922,12.41098678,6.391706444,11.724023,16.11998065,11.02636272,9.876178897,19.49083216,95.00522581,71.12062879,42.45390546,30.1596998,23.30786614
